
1,10000
2,10000
3,10000
4,10000
5,10000
6,10000
7,10000
8,10000
9,10000
10,10000
11,10000
12,10000
13,10000
14,10000
15,10000
16,10000
17,10000
18,10000
19,10000
20,10000
21,10000
22,10000
23,10000
24,10000
25,10000
26,10000
27,10000
28,10000
29,10000
30,10000
31,10000
32,10000
33,10000
34,10000
35,10000
36,10000
37,10000
38,10000
39,10000
40,10000
41,10000
42,10000
43,10000
44,10000
45,10000
46,10000
47,10000
48,10000
49,10000
50,10000
51,10000
52,10000
53,10000
54,10000
55,10000
56,10000
57,10000
58,10000
59,10000
60,10000
61,10000
62,10000
63,10000
63.7791,10000
64,9999.8
65,9998.9
65.098,9998.81
66,9998.81
66.098,9998.81
66.3602,9998.81
67,9998.81
67.098,9998.81
67.1021,9998.81
68,9998.78
68.0933,9998.77
69,9998.77
70,9998.77
71,9998.77
72,9998.77
73,9998.77
74,9998.77
75,9998.77
76,9998.77
77,9998.77
78,9998.77
79,9998.77
80,9998.77
81,9998.77
82,9998.77
83,9998.77
84,9998.77
85,9998.77
86,9998.77
87,9998.77
88,9998.77
89,9998.77
90,9998.77
91,9998.77
92,9998.77
93,9998.77
94,9998.77
95,9998.77
96,9998.77
97,9998.77
98,9998.77
99,9998.77
100,9998.77
101,9998.77
102,9998.77
103,9998.77
104,9998.77
105,9998.77
106,9998.77
107,9998.77
108,9998.77
109,9998.77
110,9998.77
111,9998.77
112,9998.77
113,9998.77
114,9998.77
115,9998.77
116,9998.77
117,9998.77
118,9998.77
119,9998.77
120,9998.77
121,9998.77
122,9998.77
123,9998.77
124,9998.77
125,9998.77
126,9998.77
127,9998.77
128,9998.77
129,9998.77
130,9998.77
131,9998.77
132,9998.77
133,9998.77
134,9998.77
135,9998.77
136,9998.77
137,9998.77
138,9998.77
139,9998.77
140,9998.77
141,9998.77
142,9998.77
143,9998.77
144,9998.77
145,9998.77
146,9998.77
147,9998.77
148,9998.77
149,9998.77
150,9998.77
151,9998.77
152,9998.77
153,9998.77
154,9998.77
155,9998.77
156,9998.77
157,9998.77
158,9998.77
159,9998.77
160,9998.77
161,9998.77
162,9998.77
163,9998.77
164,9998.77
165,9998.77
166,9998.77
167,9998.77
168,9998.77
169,9998.77
170,9998.77
171,9998.77
172,9998.77
173,9998.77
174,9998.77
175,9998.77
176,9998.77
177,9998.77
178,9998.77
179,9998.77
180,9998.77
181,9998.77
182,9998.77
183,9998.77
184,9998.77
185,9998.77
186,9998.77
187,9998.77
188,9998.77
189,9998.77
190,9998.77
191,9998.77
192,9998.77
193,9998.77
194,9998.77
195,9998.77
196,9998.77
197,9998.77
198,9998.77
199,9998.77
200,9998.77
201,9998.77
202,9998.77
203,9998.77
204,9998.77
205,9998.77
206,9998.77
207,9998.77
208,9998.77
209,9998.77
210,9998.77
211,9998.77
212,9998.77
213,9998.77
214,9998.77
215,9998.77
216,9998.77
217,9998.77
218,9998.77
219,9998.77
220,9998.77
221,9998.77
222,9998.77
223,9998.77
224,9998.77
225,9998.77
226,9998.77
227,9998.77
228,9998.77
229,9998.77
230,9998.77
231,9998.77
232,9998.77
233,9998.77
234,9998.77
235,9998.77
236,9998.77
237,9998.77
238,9998.77
239,9998.77
240,9998.77
241,9998.77
242,9998.77
243,9998.77
244,9998.77
245,9998.77
246,9998.77
247,9998.77
248,9998.77
249,9998.77
250,9998.77
251,9998.77
